Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	Tempoal	Tempoal	Tempoal	Tempoal	Tempoal	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Veracruz	Veracruz	Veracruz	Veracruz	Veracruz	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	12448.0	12448.0	12448.0	12448.0	12448.0	2992.0	2992.0	2992.0	2992.0	2992.0	61.0	61.0	61.0	61.0	61.0	50752.0	50752.0	50752.0	50752.0	50752.0	22069.0	22069.0	22069.0	22069.0	22069.0	2668.0	2668.0	2668.0	2668.0	2668.0	967.0	967.0	967.0	967.0	967.0	4154.0	7786.25	11418.5	15050.75	18683.0	3307.0	3307.0	3307.0	3307.0	3307.0	210.0	210.0	210.0	210.0	210.0	379.0	1703.25	3027.5	4351.75	5676.0	8864.0	8864.0	8864.0	8864.0	8864.0	4289.0	4289.0	4289.0	4289.0	4289.0	2494.0	2494.0	2494.0	2494.0	2494.0	11419.0	11419.0	11419.0	11419.0	11419.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	27525.0	27525.0	27525.0	27525.0	27525.0	443.0	443.0	443.0	443.0	443.0	65.0	65.0	65.0	65.0	65.0	1366.0	1366.0	1366.0	1366.0	1366.0	1131.0	1131.0	1131.0	1131.0	1131.0	263.0	263.0	263.0	263.0	263.0	26429.0	26429.0	26429.0	26429.0	26429.0	253.0	260.75	268.5	276.25	284.0	833.0	833.0	833.0	833.0	833.0	229.0	229.0	229.0	229.0	229.0	64.0	76.75	89.5	102.25	115.0	4349.0	4349.0	4349.0	4349.0	4349.0	619.0	619.0	619.0	619.0	619.0	609.0	609.0	609.0	609.0	609.0	279.0	279.0	279.0	279.0	279.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	21.0	21.0	21.0	21.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.0	24.0	24.0	24.0	24.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;	1.0	1.0	1.0	1.0	1.0	208.0	208.0	208.0	208.0	208.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	264.0	264.0	264.0	264.0	264.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	456.0	456.0	456.0	456.0	456.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	255.0	255.0	255.0	255.0	255.0	71.0	71.0	71.0	71.0	71.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium	8.0	8.0	8.0	8.0	8.0	59.0	59.0	59.0	59.0	59.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	106.0	106.0	106.0	106.0	106.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	25.5	36.0	46.5	57.0	33.0	33.0	33.0	33.0	33.0	1.0	1.0	1.0	1.0	1.0	1.0	9.5	18.0	26.5	35.0	17.0	17.0	17.0	17.0	17.0	1.0	1.0	1.0	1.0	1.0	45.0	45.0	45.0	45.0	45.0	10.0	10.0	10.0	10.0	10.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	1.0	1.0	1.0	1.0	1.0	86.0	86.0	86.0	86.0	86.0	116.0	116.0	116.0	116.0	116.0	17.0	17.0	17.0	17.0	17.0	1.0	1.0	1.0	1.0	1.0	31.0	31.0	31.0	31.0	31.0	42.0	42.0	42.0	42.0	42.0	1.0	4.25	7.5	10.75	14.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	48.0	48.0	48.0	48.0	48.0	170.0	170.0	170.0	170.0	170.0	1.0	1.0	1.0	1.0	1.0	87.0	87.0	87.0	87.0	87.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002	38.0	38.0	38.0	38.0	38.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0	5.5	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	86.0	86.0	86.0	86.0	86.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas	27.0	27.0	27.0	27.0	27.0	5676.0	5676.0	5676.0	5676.0	5676.0	1.0	1.0	1.0	1.0	1.0	337.0	337.0	337.0	337.0	337.0	1946.0	1946.0	1946.0	1946.0	1946.0	265.0	265.0	265.0	265.0	265.0	23.0	23.0	23.0	23.0	23.0	36.0	37.75	39.5	41.25	43.0	152.0	152.0	152.0	152.0	152.0	811.0	811.0	811.0	811.0	811.0	1.0	10.0	19.0	28.0	37.0	80.0	80.0	80.0	80.0	80.0	350.0	350.0	350.0	350.0	350.0	484.0	484.0	484.0	484.0	484.0	10858.0	10858.0	10858.0	10858.0	10858.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	13678.0	13678.0	13678.0	13678.0	13678.0	1986.0	1986.0	1986.0	1986.0	1986.0	25.0	25.0	25.0	25.0	25.0	10808.0	10808.0	10808.0	10808.0	10808.0	15493.0	15493.0	15493.0	15493.0	15493.0	433.0	433.0	433.0	433.0	433.0	3801.0	3801.0	3801.0	3801.0	3801.0	709.0	762.5	816.0	869.5	923.0	12998.0	12998.0	12998.0	12998.0	12998.0	742.0	742.0	742.0	742.0	742.0	1934.0	2051.0	2168.0	2285.0	2402.0	11673.0	11673.0	11673.0	11673.0	11673.0	30435.0	30435.0	30435.0	30435.0	30435.0	20663.0	20663.0	20663.0	20663.0	20663.0	8246.0	8246.0	8246.0	8246.0	8246.0
