# Constructed from biom file
#OTU ID	data1	data2
334ad77196a8891818e5a9282bfd9712	0.25	0.0
ebcd8f57b10b885c916f83820866851b	0.0	1.0
7824ab9966f5200211101f93b70a20ab	0.75	0.0
