Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	humid subtropical	humid subtropical	humid subtropical	humid subtropical	humid subtropical	marine west coast	marine west coast	marine west coast	marine west coast	marine west coast	mediterranean	mediterranean	mediterranean	mediterranean	mediterranean	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	oceanic subtropical highland	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical desert	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical and subtropical steppe	tropical savanna	tropical savanna	tropical savanna	tropical savanna	tropical savanna
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;	1.0	135.25	137.5	139.0	350.0	168.0	168.0	168.0	168.0	168.0	188.0	188.0	188.0	188.0	188.0	91.0	132.0	173.0	244.5	316.0	1.0	1.0	1.0	1.0	1.0	1.0	9.25	17.5	25.75	34.0	1.0	54.5	108.0	230.5	353.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae;Marinomonas	1.0	15.5	28.5	395.5	29429.0	217.0	217.0	217.0	217.0	217.0	101.0	101.0	101.0	101.0	101.0	14.0	18.5	23.0	40.5	58.0	84.0	84.0	84.0	84.0	84.0	1.0	9.5	18.0	26.5	35.0	19.0	40.0	61.0	15718.0	31375.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	17.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter	1.0	1.0	5.5	16.75	148.0	40.0	40.0	40.0	40.0	40.0	46.0	46.0	46.0	46.0	46.0	1.0	4.0	7.0	37.5	68.0	18.0	18.0	18.0	18.0	18.0	16.0	17.0	18.0	19.0	20.0	35.0	69.5	104.0	107.5	111.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	1.0	1.0	1.0	26.5	121.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2123.0	2123.0	2123.0	2123.0	2123.0	1.0	6.75	12.5	18.25	24.0	1.0	13.5	26.0	45.5	65.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	1.0	1.0	1.0	43.75	382.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.5	26.0	76.5	127.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	49.0	70.5	92.0	550.5	1009.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	1.0	1.0	1.0	16.0	103.0	19.0	19.0	19.0	19.0	19.0	33.0	33.0	33.0	33.0	33.0	1.0	6.0	11.0	15.0	19.0	1.0	1.0	1.0	1.0	1.0	13.0	16.25	19.5	22.75	26.0	11.0	14.0	17.0	1944.0	3871.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	1.0	1.0	1.0	1.0	206.0	1.0	1.0	1.0	1.0	1.0	125.0	125.0	125.0	125.0	125.0	1.0	1.0	1.0	32.0	63.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	72.0	143.0	185.5	228.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	379.0	2827.75	4491.5	9983.25	50752.0	4289.0	4289.0	4289.0	4289.0	4289.0	2992.0	2992.0	2992.0	2992.0	2992.0	4154.0	11418.5	18683.0	20376.0	22069.0	61.0	61.0	61.0	61.0	61.0	8864.0	9760.0	10656.0	11552.0	12448.0	210.0	588.5	967.0	1730.5	2494.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	64.0	152.0	271.0	694.5	1366.0	619.0	619.0	619.0	619.0	619.0	443.0	443.0	443.0	443.0	443.0	253.0	268.5	284.0	707.5	1131.0	65.0	65.0	65.0	65.0	65.0	4349.0	10143.0	15937.0	21731.0	27525.0	229.0	419.0	609.0	13519.0	26429.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;	1.0	1.0	1.0	1.0	1.0	24.0	24.0	24.0	24.0	24.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	21.0	21.0	21.0	21.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;	1.0	1.0	1.0	53.5	264.0	1.0	1.0	1.0	1.0	1.0	208.0	208.0	208.0	208.0	208.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	130.0	255.0	355.5	456.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium	1.0	1.0	5.5	27.25	35.0	1.0	1.0	1.0	1.0	1.0	59.0	59.0	59.0	59.0	59.0	15.0	36.0	57.0	81.5	106.0	1.0	1.0	1.0	1.0	1.0	8.0	10.25	12.5	14.75	17.0	1.0	1.0	1.0	23.0	45.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	1.0	1.0	9.0	27.5	87.0	170.0	170.0	170.0	170.0	170.0	86.0	86.0	86.0	86.0	86.0	1.0	1.0	1.0	7.5	14.0	116.0	116.0	116.0	116.0	116.0	1.0	12.75	24.5	36.25	48.0	1.0	1.0	1.0	21.5	42.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	38.0	50.0	62.0	74.0	86.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Aeromonas	1.0	65.75	208.5	319.0	10858.0	350.0	350.0	350.0	350.0	350.0	5676.0	5676.0	5676.0	5676.0	5676.0	36.0	39.5	43.0	994.5	1946.0	1.0	1.0	1.0	1.0	1.0	27.0	40.25	53.5	66.75	80.0	23.0	253.5	484.0	647.5	811.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.75	2.5	3.25	4.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	433.0	2051.0	5324.0	10167.5	12998.0	30435.0	30435.0	30435.0	30435.0	30435.0	1986.0	1986.0	1986.0	1986.0	1986.0	709.0	816.0	923.0	8208.0	15493.0	25.0	25.0	25.0	25.0	25.0	11673.0	12174.25	12675.5	13176.75	13678.0	742.0	2271.5	3801.0	12232.0	20663.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	25.5	50.0	212.0	374.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.25	37.5	55.75	74.0	1.0	1.0	1.0	1.0	1.0
