sample	input	filtered	denoised	nonchim
Adobera_pasteurizada	20	17	16	16
Adobera_artesanal	20	15	12	12
Zacatecas	20	14	8	8
Chihuahua	20	15	11	11
Chiapas	20	18	3	3
Ranchero_Estado_de_Mexico	20	15	11	11
