id	clr	W
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae	-1.0953321000172447	54
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	0.6958230447082909	109
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	-2.0964330819143813	81
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae	2.4017339048584265	127
Bacteria;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae	-2.0505957884540287	88
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae	-1.8811362163765883	84
Bacteria;Bacteria;Chloroflexi;;;	-1.9484306637008308	88
Bacteria;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45	0.06448643087486061	50
Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia;;	-1.9484306637008308	82
Bacteria;Bacteria;Cyanobacteria;Sericytochromatia;;	-1.9484306637008308	82
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;	0.700301382771271	77
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia;Vampirovibrionales;Vampirovibrionaceae	-2.050595788454029	85
Bacteria;Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae	0.4755781479335374	23
Bacteria;Bacteria;Desulfobacterota;;;	-1.5536144584964289	65
Bacteria;Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;	1.2870492805452187	126
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;	2.658921078381416	126
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;	-1.3128198976312415	49
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	5.013576037255947	178
Bacteria;Bacteria;Elusimicrobiota;Endomicrobia;Endomicrobiales;Endomicrobiaceae	-1.773336916230051	76
Bacteria;Bacteria;Firmicutes;;;	3.752590782774597	105
Bacteria;Bacteria;Firmicutes;BRH-c20a;;	-0.3621018594099684	61
Bacteria;Bacteria;Firmicutes;Bacilli;;	3.1082462836671874	89
Bacteria;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae	-1.083339407063733	57
Bacteria;Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae	-1.9930593739636726	85
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;	-0.6315027267489612	42
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	3.9322777934886983	126
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	-0.9243534320897558	53
Bacteria;Bacteria;Firmicutes;Bacilli;Brevibacillales;Brevibacillaceae	-1.9930593739636726	84
Bacteria;Bacteria;Firmicutes;Bacilli;Entomoplasmatales;Spiroplasmataceae	1.740431539669157	8
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;	1.1494539341967411	55
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	3.0782412479401935	135
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	4.438989932292523	135
Bacteria;Bacteria;Firmicutes;Bacilli;Izemoplasmatales;	-0.7403797214453477	61
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;	-1.8785823978546572	75
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	-0.7947664645420761	40
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.02998450552092713	94
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	-9.349942034651157	200
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392	-7.142343597422012	196
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	-9.737377035962025	201
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae	0.35795478986799445	68
Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae	0.5019650672031182	56
Bacteria;Bacteria;Firmicutes;Bacilli;RF39;	3.2801683056001867	146
Bacteria;Bacteria;Firmicutes;Bacilli;RsaHf231;	-1.384154886418988	76
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	-6.715899047440166	196
Bacteria;Bacteria;Firmicutes;Clostridia;;	5.214936689089842	185
Bacteria;Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae	-0.6017502853333586	57
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	6.816819836194527	203
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;	2.2316251863875824	128
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;	3.1245757043421234	123
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	1.0632561517909402	113
Bacteria;Bacteria;Firmicutes;Clostridia;Eubacteriales;	-0.008813527161215418	32
Bacteria;Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae	0.9490470043081567	69
Bacteria;Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;	-1.3889743967347998	59
Bacteria;Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;Lutispora	-1.8544299378516835	85
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;	0.18150962710572255	59
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae	-1.9930593739636726	82
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	5.3912306629316875	185
Bacteria;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	0.953328402110811	101
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;	4.390816502598455	173
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	1.7951341675859012	131
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae	1.4551829573019905	108
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae	1.4604841981431624	117
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium	3.640562760045976	156
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	4.141252394062621	162
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	5.653863944010825	188
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	1.8582485584285249	109
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium] methylpentosum group	-1.3414400663593762	51
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	2.5651431848381385	104
Bacteria;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	3.6866598617846003	151
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;	-0.9333959006540652	51
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	4.2541181411797835	160
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	1.1117005623655472	17
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;	2.92881917486348	140
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae	4.0401554888414095	153
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae	1.0486998358534305	12
Bacteria;Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae	-1.4688516091411565	59
Bacteria;Bacteria;Firmicutes;Incertae Sedis;DTU014;	-1.2209134317555534	65
Bacteria;Bacteria;Firmicutes;Limnochordia;Hydrogenispora;	-1.9930593739636726	88
Bacteria;Bacteria;Firmicutes;Negativicutes;;	-0.3892190688376057	45
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;	0.4489660092079703	42
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae	3.1075646980297122	135
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae	-4.607436625687037	85
Bacteria;Bacteria;Firmicutes;Sulfobacillia;Sulfobacillales;Sulfobacillaceae	-2.0505957884540287	86
Bacteria;Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae	2.0558734512176264	135
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	-2.3801794750544616	88
Bacteria;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae	-1.830873330720407	81
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;	-1.1068960141950095	62
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae	-1.5325423553648636	73
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae	-0.8641467509644268	48
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Vulgatibacteraceae	-1.4617079926207408	67
Bacteria;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae	-1.790739191627977	81
Bacteria;Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae	-1.9930593739636726	87
