Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	233.0	233.0	233.0	233.0	233.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	37.0	55.0	73.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	48.0	48.0	48.0	48.0	48.0	78.0	78.0	78.0	78.0	78.0	81.0	81.0	81.0	81.0	81.0	22.0	186.0	350.0	514.0	678.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	12446.0	12446.0	12446.0	12446.0	12446.0	27113.0	27113.0	27113.0	27113.0	27113.0	55265.0	55265.0	55265.0	55265.0	55265.0	16919.0	16919.0	16919.0	16919.0	16919.0	19422.0	19422.0	19422.0	19422.0	19422.0	42923.0	42923.0	42923.0	42923.0	42923.0	35142.0	35142.0	35142.0	35142.0	35142.0	56895.0	56895.0	56895.0	56895.0	56895.0	107079.0	107079.0	107079.0	107079.0	107079.0	45487.0	45487.0	45487.0	45487.0	45487.0	89.0	89.0	89.0	89.0	89.0	1.0	1.0	1.0	1.0	1.0	86.0	86.0	86.0	86.0	86.0	10.0	77.5	145.0	212.5	280.0
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2317.0	2317.0	2317.0	2317.0	2317.0	1243.0	1243.0	1243.0	1243.0	1243.0	1129.0	1129.0	1129.0	1129.0	1129.0	1245.0	1338.75	1432.5	1526.25	1620.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	8.0	8.0	8.0	8.0	19.0	19.0	19.0	19.0	19.0	365.0	365.0	365.0	365.0	365.0	40.0	53.75	67.5	81.25	95.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	7556.0	7556.0	7556.0	7556.0	7556.0	1270.0	1270.0	1270.0	1270.0	1270.0	1235.0	1235.0	1235.0	1235.0	1235.0	1381.0	1381.0	1381.0	1381.0	1381.0	1668.0	1668.0	1668.0	1668.0	1668.0	1406.0	1406.0	1406.0	1406.0	1406.0	3785.0	3785.0	3785.0	3785.0	3785.0	1047.0	1047.0	1047.0	1047.0	1047.0	525.0	525.0	525.0	525.0	525.0	1067.0	1067.0	1067.0	1067.0	1067.0	35.0	35.0	35.0	35.0	35.0	8.0	8.0	8.0	8.0	8.0	48.0	48.0	48.0	48.0	48.0	17.0	26.0	35.0	44.0	53.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	611.0	611.0	611.0	611.0	611.0	107.0	107.0	107.0	107.0	107.0	588.0	588.0	588.0	588.0	588.0	314.0	377.25	440.5	503.75	567.0
Bacteria;Bacteria;Patescibacteria;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2438.0	2438.0	2438.0	2438.0	2438.0	1150.0	1150.0	1150.0	1150.0	1150.0	3555.0	3555.0	3555.0	3555.0	3555.0	1050.0	1216.25	1382.5	1548.75	1715.0
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1429.0	1429.0	1429.0	1429.0	1429.0	228.0	228.0	228.0	228.0	228.0	1479.0	1479.0	1479.0	1479.0	1479.0	384.0	486.75	589.5	692.25	795.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	717.0	717.0	717.0	717.0	717.0	1953.0	1953.0	1953.0	1953.0	1953.0	716.0	716.0	716.0	716.0	716.0	136.0	279.75	423.5	567.25	711.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae	183.0	183.0	183.0	183.0	183.0	46.0	46.0	46.0	46.0	46.0	42.0	42.0	42.0	42.0	42.0	1.0	1.0	1.0	1.0	1.0	77.0	77.0	77.0	77.0	77.0	26.0	26.0	26.0	26.0	26.0	88.0	88.0	88.0	88.0	88.0	31.0	31.0	31.0	31.0	31.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	11.0	11.0	11.0	11.0	1.0	2.0	3.0	4.0	5.0
Bacteria;Bacteria;Firmicutes;Bacilli;RF39;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	381.0	381.0	381.0	381.0	381.0	144.0	144.0	144.0	144.0	144.0	770.0	770.0	770.0	770.0	770.0	151.0	157.5	164.0	170.5	177.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	83509.0	83509.0	83509.0	83509.0	83509.0	208187.0	208187.0	208187.0	208187.0	208187.0	294055.0	294055.0	294055.0	294055.0	294055.0	110284.0	110284.0	110284.0	110284.0	110284.0	151144.0	151144.0	151144.0	151144.0	151144.0	219706.0	219706.0	219706.0	219706.0	219706.0	243281.0	243281.0	243281.0	243281.0	243281.0	304666.0	304666.0	304666.0	304666.0	304666.0	483934.0	483934.0	483934.0	483934.0	483934.0	233416.0	233416.0	233416.0	233416.0	233416.0	56.0	56.0	56.0	56.0	56.0	6.0	6.0	6.0	6.0	6.0	393.0	393.0	393.0	393.0	393.0	403.0	415.75	428.5	441.25	454.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	900.0	900.0	900.0	900.0	900.0	36.0	36.0	36.0	36.0	36.0	111.0	111.0	111.0	111.0	111.0	190.0	332.25	474.5	616.75	759.0
Bacteria;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	769.0	769.0	769.0	769.0	769.0	1814.0	1814.0	1814.0	1814.0	1814.0	1205.0	1205.0	1205.0	1205.0	1205.0	959.0	1409.25	1859.5	2309.75	2760.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1094.0	1094.0	1094.0	1094.0	1094.0	295.0	295.0	295.0	295.0	295.0	1179.0	1179.0	1179.0	1179.0	1179.0	411.0	442.0	473.0	504.0	535.0
Bacteria;Bacteria;Firmicutes;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	102.0	102.0	102.0	102.0	102.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	11.0	11.0	11.0	11.0	859.0	859.0	859.0	859.0	859.0	783.0	783.0	783.0	783.0	783.0	1482.0	1482.0	1482.0	1482.0	1482.0	499.0	576.0	653.0	730.0	807.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1595.0	1595.0	1595.0	1595.0	1595.0	2004.0	2004.0	2004.0	2004.0	2004.0	534.0	534.0	534.0	534.0	534.0	886.0	1621.75	2357.5	3093.25	3829.0
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1173.0	1173.0	1173.0	1173.0	1173.0	3114.0	3114.0	3114.0	3114.0	3114.0	5204.0	5204.0	5204.0	5204.0	5204.0	53.0	131.75	210.5	289.25	368.0
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1138.0	1138.0	1138.0	1138.0	1138.0	421.0	421.0	421.0	421.0	421.0	157.0	157.0	157.0	157.0	157.0	924.0	1109.5	1295.0	1480.5	1666.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	231.0	231.0	231.0	231.0	231.0	1.0	1.0	1.0	1.0	1.0	574.0	574.0	574.0	574.0	574.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2257.0	2257.0	2257.0	2257.0	2257.0	1962.0	1962.0	1962.0	1962.0	1962.0	2217.0	2217.0	2217.0	2217.0	2217.0	1.0	194.5	388.0	581.5	775.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	100.0	100.0	100.0	28.0	28.0	28.0	28.0	28.0	714.0	714.0	714.0	714.0	714.0	230.0	243.25	256.5	269.75	283.0
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	12.0	12.0	12.0	12.0	16.0	16.0	16.0	16.0	16.0	3.0	3.0	3.0	3.0	3.0	3.0	150.25	297.5	444.75	592.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1204.0	1204.0	1204.0	1204.0	1204.0	534.0	534.0	534.0	534.0	534.0	1735.0	1735.0	1735.0	1735.0	1735.0	422.0	471.25	520.5	569.75	619.0
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	110.0	110.0	110.0	110.0	110.0	66.0	66.0	66.0	66.0	66.0	111.0	111.0	111.0	111.0	111.0	79.0	257.75	436.5	615.25	794.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	479.0	479.0	479.0	479.0	479.0	18.0	18.0	18.0	18.0	18.0	69.0	69.0	69.0	69.0	69.0	33.0	36.5	40.0	43.5	47.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40.0	40.0	40.0	40.0	40.0	28.0	28.0	28.0	28.0	28.0	205.0	205.0	205.0	205.0	205.0	11.0	20.75	30.5	40.25	50.0
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	215.0	215.0	215.0	215.0	215.0	177.0	177.0	177.0	177.0	177.0	620.0	620.0	620.0	620.0	620.0	70.0	82.0	94.0	106.0	118.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	212.0	212.0	212.0	212.0	212.0	818.0	818.0	818.0	818.0	818.0	328.0	328.0	328.0	328.0	328.0	30.0	90.75	151.5	212.25	273.0
