Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Chiapas	Chiapas	Chiapas	Chiapas	Chiapas	Chihuahua	Chihuahua	Chihuahua	Chihuahua	Chihuahua	Durango	Durango	Durango	Durango	Durango	EDOMEX	EDOMEX	EDOMEX	EDOMEX	EDOMEX	Hidalgo	Hidalgo	Hidalgo	Hidalgo	Hidalgo	Jalisco	Jalisco	Jalisco	Jalisco	Jalisco	Queretaro	Queretaro	Queretaro	Queretaro	Queretaro	Veracruz	Veracruz	Veracruz	Veracruz	Veracruz
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	31.0	31.0	31.0	31.0	31.0	23.0	23.0	23.0	23.0	23.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	33.0	33.0	33.0	33.0	33.0	1.0	1.0	3.0	31.5	124.0	1.0	219.0	437.0	480.5	524.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	6.0	6.0	6.0	6.0	6.0	67.0	67.0	67.0	67.0	67.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	6.0	1.0	7.0	13.0	192.0	371.0	1.0	6.5	12.0	17.5	23.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	1.0	1.0	1.0	1.0	1.0	12.0	12.0	12.0	12.0	12.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	112.0	112.0	112.0	253.0	253.0	253.0	253.0	253.0	1.0	33.5	89.0	220.5	437.0	87.0	120.0	153.0	244.0	335.0	203.0	250.25	297.5	344.75	392.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.0	1.0	1.0	1.0	1.0	1.0	1.0	3.5	6.0	8.5	11.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	14.0	14.0	14.0	14.0	14.0	12.0	12.0	12.0	12.0	12.0	1.0	1.0	1.0	1.0	1.0	15.0	15.0	15.0	15.0	15.0	62.0	62.0	62.0	62.0	62.0	1.0	1.0	1.0	19.0	55.0	1.0	6.5	12.0	15.0	18.0	1.0	11.75	22.5	33.25	44.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	1.0	1.0	1.0	1.0	1.0	109.0	109.0	109.0	109.0	109.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	1.0	1.0	19.0	1.0	11.5	22.0	672.0	1322.0	1.0	4.0	7.0	10.0	13.0
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	135.0	135.0	135.0	135.0	135.0	109.0	109.0	109.0	109.0	109.0	110.0	110.0	110.0	110.0	110.0	139.0	139.0	139.0	139.0	139.0	179.0	179.0	179.0	179.0	179.0	27.0	60.0	165.0	188.0	420.0	40.0	41.0	42.0	61.0	80.0	102.0	195.0	288.0	381.0	474.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	29.0	29.0	29.0	29.0	29.0	13.0	13.0	13.0	13.0	13.0	1.0	1.0	1.0	1.0	64.0	1.0	1.0	1.0	6.5	12.0	1.0	1.0	1.0	1.0	1.0
