	SubjectID1	SubjectID2	Group1	Group2	Distance
42	Cincho	Ranchero_Estado_de_Mexico	Rw	Rw	0.4190498176519618
43	Cincho	Ranchero_Veracruz	Rw	Rw	0.4448647412695502
44	Cincho	Zacatecas	Rw	Rw	0.5382681900344414
45	Oaxaca	Adobera_artesanal	Rw	Rw	0.574391813104597
46	Oaxaca	Adobera_mesa	Rw	Rw	0.40603421769305614
47	Oaxaca	Cotija	Rw	Rw	0.48461484130868226
48	Oaxaca	Panela_artesanal	Rw	Rw	0.4579652061847493
49	Oaxaca	Jocoque	Rw	Rw	0.5761096391352971
50	Oaxaca	Chiapas	Rw	Rw	0.539707328068659
51	Oaxaca	Ranchero_Estado_de_Mexico	Rw	Rw	0.4827321079131313
52	Oaxaca	Ranchero_Veracruz	Rw	Rw	0.4428551383314505
53	Oaxaca	Zacatecas	Rw	Rw	0.5708535568522946
54	Oaxaca	Cincho	Rw	Rw	0.5271207886309957
55	Canasto	Adobera_artesanal	Rw	Rw	0.47490444208994187
56	Canasto	Adobera_mesa	Rw	Rw	0.4492032222444653
57	Canasto	Cotija	Rw	Rw	0.5430795780613931
58	Canasto	Panela_artesanal	Rw	Rw	0.4690204218928291
59	Canasto	Jocoque	Rw	Rw	0.454554418034298
60	Canasto	Chiapas	Rw	Rw	0.43013413829503466
61	Canasto	Ranchero_Estado_de_Mexico	Rw	Rw	0.5605727975960657
62	Canasto	Ranchero_Veracruz	Rw	Rw	0.5077165659609874
63	Canasto	Zacatecas	Rw	Rw	0.6488651903928061
64	Canasto	Cincho	Rw	Rw	0.583735145991281
65	Canasto	Oaxaca	Rw	Rw	0.5553174990802296
66	Asadero	Adobera_artesanal	Rw	Rw	0.3827730450362405
67	Asadero	Adobera_mesa	Rw	Rw	0.405831596936405
68	Asadero	Cotija	Rw	Rw	0.45859702073731384
69	Asadero	Panela_artesanal	Rw	Rw	0.41843072837371226
70	Asadero	Jocoque	Rw	Rw	0.4728697898417714
71	Asadero	Chiapas	Rw	Rw	0.4949482490566137
72	Asadero	Ranchero_Estado_de_Mexico	Rw	Rw	0.42326366901955914
73	Asadero	Ranchero_Veracruz	Rw	Rw	0.4911690391730239
74	Asadero	Zacatecas	Rw	Rw	0.5874835990834445
75	Asadero	Cincho	Rw	Rw	0.5358741982656641
76	Asadero	Oaxaca	Rw	Rw	0.4573602993521028
77	Asadero	Canasto	Rw	Rw	0.43705555459359235
78	Manchego	Adobera_artesanal	Rw	Rw	0.45439947626461147
79	Manchego	Adobera_mesa	Rw	Rw	0.5108483683028502
80	Manchego	Cotija	Rw	Rw	0.5172215361994316
81	Manchego	Panela_artesanal	Rw	Rw	0.473007185694115
82	Manchego	Jocoque	Rw	Rw	0.44250407033273087
83	Manchego	Chiapas	Rw	Rw	0.5695565366359916
