Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	244.0	244.0	244.0	244.0	244.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	15.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	648.0	738.75	902.5	2411.25	6537.0	819.0	996.0	1173.0	2113.0	3053.0	251.0	413.5	576.0	627.5	679.0	36.0	36.0	36.0	36.0	36.0	41.0	41.0	41.0	41.0	41.0	8.0	12.5	17.0	22.5	28.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	588.0	588.0	588.0	588.0	588.0	567.0	567.0	567.0	567.0	567.0	107.0	210.5	314.0	462.5	611.0
Bacteria;Bacteria;Patescibacteria;;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0
Bacteria;Bacteria;Firmicutes;Clostridia;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3555.0	3555.0	3555.0	3555.0	3555.0	1715.0	1715.0	1715.0	1715.0	1715.0	1050.0	1100.0	1150.0	1794.0	2438.0
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	271.0	271.0	271.0	271.0	271.0	211.0	211.0	211.0	211.0	211.0	27.0	33.5	40.0	122.5	205.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	713.0	713.0	713.0	713.0	713.0	711.0	711.0	711.0	711.0	711.0	136.0	394.0	652.0	1100.5	1549.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium	1.0	31.75	44.0	80.25	183.0	26.0	51.5	77.0	82.5	88.0	1.0	1.0	1.0	16.0	31.0	11.0	11.0	11.0	11.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;RF39;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	770.0	770.0	770.0	770.0	770.0	177.0	177.0	177.0	177.0	177.0	144.0	147.5	151.0	266.0	381.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	15.0	15.0	15.0	15.0	15.0	1.0	3.5	6.0	18.0	30.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	76978.0	98782.75	153206.0	221206.5	283743.0	147851.0	181612.0	215373.0	226910.5	238448.0	228485.0	262862.0	297239.0	385657.0	474075.0	1.0	1.0	1.0	1.0	1.0	446.0	446.0	446.0	446.0	446.0	1.0	1.0	1.0	3.5	6.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	111.0	111.0	111.0	111.0	111.0	759.0	759.0	759.0	759.0	759.0	36.0	113.0	190.0	545.0	900.0
Bacteria;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Candidatus Tammella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1205.0	1205.0	1205.0	1205.0	1205.0	1412.0	1412.0	1412.0	1412.0	1412.0	1.0	243.5	486.0	627.5	769.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	674.0	674.0	674.0	674.0	674.0	281.0	281.0	281.0	281.0	281.0	201.0	277.0	353.0	603.0	853.0
Bacteria;Bacteria;Firmicutes;;;;	1.0	1.0	1.0	26.25	102.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	11.0	1482.0	1482.0	1482.0	1482.0	1482.0	807.0	807.0	807.0	807.0	807.0	499.0	641.0	783.0	821.0	859.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hespellia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.5	14.0
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	87.0	87.0	87.0	87.0	87.0	122.0	122.0	122.0	122.0	122.0	62.0	122.0	182.0	200.0	218.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1875.0	1875.0	1875.0	1875.0	1875.0	1110.0	1110.0	1110.0	1110.0	1110.0	510.0	1047.5	1585.0	1932.0	2279.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	4.0	339.0	339.0	339.0	339.0	339.0	98.0	98.0	98.0	98.0	98.0	1530.0	1748.5	1967.0	2882.5	3798.0
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	201.0	201.0	201.0	201.0	201.0	1.0	1.0	1.0	1.0	1.0	1.0	7.5	14.0	261.0	508.0
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	157.0	157.0	157.0	157.0	157.0	1666.0	1666.0	1666.0	1666.0	1666.0	421.0	672.5	924.0	1031.0	1138.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	243.0	243.0	243.0	243.0	243.0	1.0	1.0	1.0	1.0	1.0	1.0	27.5	54.0	625.0	1196.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	87.0	87.0	87.0	87.0	87.0	47.0	47.0	47.0	47.0	47.0	1.0	12.0	23.0	36.0	49.0
Bacteria;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	566.0	566.0	566.0	566.0	566.0	1.0	1.0	1.0	2.0	3.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1735.0	1735.0	1735.0	1735.0	1735.0	619.0	619.0	619.0	619.0	619.0	422.0	478.0	534.0	869.0	1204.0
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	111.0	111.0	111.0	111.0	111.0	794.0	794.0	794.0	794.0	794.0	66.0	72.5	79.0	94.5	110.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	69.0	69.0	69.0	69.0	69.0	33.0	33.0	33.0	33.0	33.0	18.0	32.5	47.0	263.0	479.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	205.0	205.0	205.0	205.0	205.0	37.0	37.0	37.0	37.0	37.0	5.0	16.5	28.0	32.0	36.0
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	620.0	620.0	620.0	620.0	620.0	70.0	70.0	70.0	70.0	70.0	118.0	147.5	177.0	196.0	215.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	259.0	259.0	259.0	259.0	259.0	135.0	135.0	135.0	135.0	135.0	30.0	103.0	176.0	371.5	567.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	164.0	164.0	164.0	164.0	164.0	26.0	26.0	26.0	26.0	26.0	72.0	96.0	120.0	141.0	162.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	163.0	163.0	163.0	163.0	163.0	30.0	30.0	30.0	30.0	30.0	19.0	26.0	33.0	72.5	112.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella	87.0	106.5	121.5	242.25	579.0	45.0	47.5	50.0	114.0	178.0	1.0	47.5	94.0	161.0	228.0	429.0	429.0	429.0	429.0	429.0	132.0	132.0	132.0	132.0	132.0	192.0	275.5	359.0	367.5	376.0
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1052.0	1052.0	1052.0	1052.0	1052.0	564.0	564.0	564.0	564.0	564.0	125.0	294.5	464.0	936.5	1409.0
Bacteria;Bacteria;Firmicutes;Bacilli;;;	1.0	1.0	2.0	42.75	162.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	820.0	820.0	820.0	820.0	820.0	309.0	309.0	309.0	309.0	309.0	105.0	298.5	492.0	648.5	805.0
Bacteria;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	27.0	27.0	27.0	27.0	27.0	5.0	5.0	5.0	5.0	5.0	1.0	13.0	25.0	131.5	238.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	83.0	83.0	83.0	83.0	83.0	9.0	9.0	9.0	9.0	9.0	1.0	10.0	19.0	28.0	37.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudaminobacter	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	366.0	366.0	366.0	366.0	366.0	469.0	469.0	469.0	469.0	469.0	161.0	261.0	361.0	701.0	1041.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	140.0	140.0	140.0	140.0	140.0	1055.0	1055.0	1055.0	1055.0	1055.0	123.0	197.5	272.0	300.0	328.0
Bacteria;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	7.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	1196.0	1596.5	2110.5	3461.75	6374.0	2958.0	3226.0	3494.0	3704.0	3914.0	2182.0	3619.5	5057.0	5181.5	5306.0	114.0	114.0	114.0	114.0	114.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	68.5	136.0
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	93.0	93.0	93.0	93.0	93.0	280.0	280.0	280.0	280.0	280.0	1.0	8.5	16.0	40.0	64.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium] methylpentosum group;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	52.5	104.0
Bacteria;Bacteria;Rs-K70 termite group;;;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1218.0	1218.0	1218.0	1218.0	1218.0	514.0	514.0	514.0	514.0	514.0	63.0	95.0	127.0	188.0	249.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392;	124.0	127.0	174.5	229.0	253.0	106.0	165.0	224.0	240.0	256.0	22.0	48.5	75.0	118.5	162.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	66.0	1366.5	2060.0	2867.5	4510.0	1020.0	1120.0	1220.0	3369.0	5518.0	3116.0	3691.0	4266.0	5947.0	7628.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;;;	1.0	1.0	1.0	5.0	17.0	1.0	1.0	1.0	8.5	16.0	1.0	1.0	1.0	1.0	1.0	1197.0	1197.0	1197.0	1197.0	1197.0	406.0	406.0	406.0	406.0	406.0	630.0	670.0	710.0	1071.5	1433.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azoarcus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2136.0	2136.0	2136.0	2136.0	2136.0	1.0	1.0	1.0	1.0	1.0	62.0	63.5	65.0	104.0	143.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	27.5	54.0
