	W	Reject null hypothesis
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	195	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	195	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392	193	True
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	192	True
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	190	True
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	190	True
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	189	True
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	179	True
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	172	False
Bacteria;Bacteria;Firmicutes;Clostridia;;	168	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	163	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	155	False
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	155	False
Bacteria;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	151	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	151	False
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	149	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;	141	False
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	139	False
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	139	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	133	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae	133	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae	128	False
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;	126	False
Bacteria;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	125	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;	124	False
