sampleID	forwardReads	run
Adobera_pasteurizada	./data/SRR3307076_sub20.fastq.gz	SRR3307076
Adobera_artesanal	./data/SRR3307077_sub20.fastq.gz	SRR3307077
Zacatecas	./data/SRR3307078_sub20.fastq.gz	SRR3307078
Chihuahua	./data/SRR3307079_sub20.fastq.gz	SRR3307079
Chiapas	./data/SRR3307090_sub20.fastq.gz	SRR3307090
Ranchero_Estado_de_Mexico	./data/SRR3307091_sub20.fastq.gz	SRR3307091
