sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent
Adobera_artesanal	20		20	100.0%
Adobera_pasteurizada	20		20	100.0%
Chiapas	20		20	100.0%
Chihuahua	20		20	100.0%
Ranchero_Estado_de_Mexico	20		20	100.0%
Zacatecas	20		20	100.0%
