	W	Reject null hypothesis
Bacteria;Bacteria;Firmicutes;Bacilli	46	True
Bacteria;Bacteria;Firmicutes;Clostridia	46	True
Bacteria;Bacteria;Rs-K70 termite group;	43	True
Bacteria;Bacteria;Desulfobacterota;Desulfobacteria	41	True
Bacteria;Bacteria;Planctomycetota;vadinHA49	40	True
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia	40	True
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia	40	True
Bacteria;Bacteria;Patescibacteria;Saccharimonadia	40	True
Bacteria;Bacteria;Firmicutes;Desulfitobacteriia	39	True
Bacteria;Bacteria;Firmicutes;Syntrophomonadia	36	True
Bacteria;Bacteria;Synergistota;Synergistia	36	True
Bacteria;Bacteria;Chloroflexi;Chloroflexia	36	True
Bacteria;Bacteria;Firmicutes;BRH-c20a	34	False
Bacteria;Bacteria;Myxococcota;Polyangia	33	False
Bacteria;Bacteria;Desulfobacterota;Desulfarculia	33	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	33	False
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia	33	False
Bacteria;Bacteria;Firmicutes;Negativicutes	31	False
Bacteria;Bacteria;Halanaerobiaeota;Halanaerobiia	31	False
Bacteria;Bacteria;Bdellovibrionota;Bdellovibrionia	31	False
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	31	False
Bacteria;Bacteria;Firmicutes;Limnochordia	28	False
Bacteria;Bacteria;Acidobacteriota;Blastocatellia	28	False
Bacteria;Bacteria;Chloroflexi;	27	False
Bacteria;Bacteria;Sumerlaeota;Sumerlaeia	27	False
Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia	24	False
Bacteria;Bacteria;Firmicutes;Sulfobacillia	23	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	23	False
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia	23	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia	23	False
Bacteria;Bacteria;Patescibacteria;	22	False
Bacteria;Bacteria;Cyanobacteria;Sericytochromatia	18	False
Bacteria;Bacteria;Elusimicrobiota;Endomicrobia	18	False
Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	18	False
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	17	False
Bacteria;Bacteria;Myxococcota;Myxococcia	17	False
Bacteria;Bacteria;Planctomycetota;Planctomycetes	16	False
Bacteria;Bacteria;Firmicutes;Incertae Sedis	15	False
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	14	False
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	13	False
Bacteria;Bacteria;Proteobacteria;	12	False
Bacteria;Bacteria;Desulfobacterota;	10	False
;;;	6	False
Bacteria;Bacteria;Firmicutes;Desulfotomaculia	5	False
Bacteria;Bacteria;Deferribacterota;Deferribacteres	4	False
Bacteria;Bacteria;;	3	False
Bacteria;Bacteria;Firmicutes;	1	False
