index,Bacteria;Bacteria,paper_id,type,milk,loc,state,climate
Adobera_pasteurizada,37.0,AP,semi-hard,Pd,Tepatitlan,Jalisco,humid subtropical
Adobera_artesanal,31.0,AA,semi-hard,Rw,San-Miguel-el-Alto,Jalisco,humid subtropical
Zacatecas,34.0,ZAC,semi-hard,Rw,Tequisquiapan,Queretaro,tropical and subtropical steppe
Chihuahua,41.0,CHI,semi-soft,Pd,Ciudad-Cuauhtemoc,Chihuahua,tropical and subtropical steppe
