index,Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae,Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;,tipo_de_muestra
data1,8.0,0.0,Queso
data2,0.0,2.0,GC
