index,Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA,Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;;;NA,tipo_de_muestra
data1,8.0,0.0,Queso
data2,0.0,2.0,GC
