# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	37.0	31.0	24.0	19.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.0	0.0	10.0	22.0
