sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
Adobera_pasteurizada	37	37.0	0.0	100.0	0.0
Adobera_artesanal	31	31.0	0.0	100.0	0.0
Zacatecas	34	34.0	0.0	100.0	0.0
Chihuahua	41	41.0	0.0	100.0	0.0
