# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua	Cincho	Oaxaca	Canasto	Asadero	Manchego	Adobera_mesa	Cotija	Panela_pasteurizado	Panela_artesanal	Jocoque	Chiapas	Ranchero_Estado_de_Mexico	Ranchero_Veracruz
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	0.0	345.0	173.0	70.0	5609.0	2088.0	2925.0	778.0	626.0	1533.0	8972.0	928.0	16559.0	854.0	99.0	3555.0	5079.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0.0	71.0	454.0	11.0	478.0	487.0	190.0	236.0	374.0	29671.0	569.0	107.0	860.0	197.0	18.0	179.0	31665.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales	2989.0	17619.0	26354.0	54421.0	26275.0	36208.0	355.0	8600.0	20371.0	6394.0	24148.0	8400.0	21792.0	64550.0	42622.0	40876.0	1553.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales	9.0	18.0	39.0	19.0	58.0	39.0	17.0	6.0	0.0	192.0	45.0	0.0	63.0	0.0	103.0	67.0	110.0
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales	0.0	31.0	123.0	0.0	54.0	321.0	135.0	15.0	29.0	171.0	125.0	243.0	183.0	47.0	41.0	0.0	14.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales	0.0	63.0	19.0	7.0	57.0	12.0	0.0	56.0	14.0	6.0	127.0	38.0	47.0	0.0	0.0	124.0	14.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales	2.0	0.0	479.0	146.0	0.0	6.0	0.0	0.0	18.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	22.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	0.0	60.0	48.0	22.0	56.0	0.0	28.0	0.0	0.0	326.0	68.0	6.0	66.0	21.0	25.0	42.0	306.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	0.0	0.0	17.0	11.0	0.0	61.0	0.0	11.0	0.0	54.0	18.0	0.0	18.0	0.0	13.0	14.0	43.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales	0.0	0.0	1321.0	108.0	0.0	9.0	0.0	0.0	21.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales	66.0	52.0	79.0	108.0	101.0	178.0	109.0	41.0	39.0	419.0	164.0	26.0	187.0	187.0	134.0	138.0	473.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	0.0	0.0	11.0	0.0	73.0	12.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	12.0	28.0	0.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	0.0	0.0	18.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	0.0	0.0	495.0	130.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales	0.0	0.0	0.0	42.0	28.0	300.0	7.0	11.0	0.0	0.0	13.0	0.0	0.0	78.0	18.0	12.0	8.0
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales	0.0	0.0	7.0	21.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0
Bacteria;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	0.0	0.0	13.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;	0.0	0.0	0.0	0.0	123.0	36.0	0.0	20.0	35.0	84.0	0.0	0.0	39.0	0.0	0.0	40.0	22.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales	0.0	0.0	12.0	5.0	0.0	14.0	0.0	0.0	0.0	16.0	27.0	0.0	9.0	0.0	12.0	0.0	0.0
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales	0.0	0.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	19.0	7.0	0.0	0.0	10.0	0.0	8.0	20.0
Bacteria;Bacteria;Firmicutes;Bacilli;Paenibacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0
Bacteria;Bacteria;;;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	5.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	0.0	0.0	0.0	0.0	8.0	10.0	0.0	0.0	0.0	50.0	12.0	3.0	12.0	0.0	0.0	0.0	32.0
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0
Bacteria;Bacteria;Firmicutes;Bacilli;Exiguobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
