Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	GC	GC	GC	GC	GC	Queso	Queso	Queso	Queso	Queso
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	1982.0	2189.0	3385.0	5423.0	5445.0	1.0	1.0	1.0	1.0	3.0
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales	1198.0	1612.0	1886.0	3470.0	3628.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	1259.0	1295.0	1448.0	1538.0	1555.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Bacillales	36.0	164.0	690.0	1868.0	4323.0	1.0	1.0	1.0	1.0	53.0
Bacteria;Bacteria;;;	358.0	456.0	595.0	1157.0	1522.0	1.0	1.0	1.0	4.0	70.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales	2906.0	3275.0	4446.0	7882.0	10569.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales	4757.0	6181.0	8271.0	12876.0	17248.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales	2256.0	2340.0	4753.0	5193.0	6746.0	11.0	35.5	57.5	106.25	172.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	55.0	96.0	116.0	445.0	717.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales	2019.0	2200.0	2777.0	3998.0	4061.0	96698.0	187061.25	270943.5	332401.25	591502.0
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales	1129.0	1245.0	1362.0	1620.0	2317.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	51.0	54.0	70.0	75.0	116.0	528.0	1109.0	1325.5	1602.5	7556.0
