Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Ciudad-Cuauhtemoc	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Concepción-de-Buenos-Aires	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Gomez-Palacio	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Guadalajara	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Jilotepec	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Manzanilla-de-la-Paz	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	Pijijiapan	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Juan-del-Rio	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	San-Miguel-el-Alto	Tempoal	Tempoal	Tempoal	Tempoal	Tempoal	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tepatitlan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tequisquiapan	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Tulancingo	Veracruz	Veracruz	Veracruz	Veracruz	Veracruz	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo	Zapotlanejo
Bacteria;Bacteria;Proteobacteria	134.0	134.0	134.0	134.0	134.0	9690.0	9690.0	9690.0	9690.0	9690.0	3161.0	3161.0	3161.0	3161.0	3161.0	1073.0	1073.0	1073.0	1073.0	1073.0	3868.0	3868.0	3868.0	3868.0	3868.0	31827.0	31827.0	31827.0	31827.0	31827.0	259.0	259.0	259.0	259.0	259.0	1001.0	1008.75	1016.5	1024.25	1032.0	495.0	495.0	495.0	495.0	495.0	37236.0	37236.0	37236.0	37236.0	37236.0	10.0	268.75	527.5	786.25	1045.0	732.0	732.0	732.0	732.0	732.0	2692.0	2692.0	2692.0	2692.0	2692.0	6210.0	6210.0	6210.0	6210.0	6210.0	17579.0	17579.0	17579.0	17579.0	17579.0
Bacteria;Bacteria;Firmicutes	54861.0	54861.0	54861.0	54861.0	54861.0	24465.0	24465.0	24465.0	24465.0	24465.0	607.0	607.0	607.0	607.0	607.0	64922.0	64922.0	64922.0	64922.0	64922.0	41027.0	41027.0	41027.0	41027.0	41027.0	7003.0	7003.0	7003.0	7003.0	7003.0	42821.0	42821.0	42821.0	42821.0	42821.0	8668.0	11621.25	14574.5	17527.75	20481.0	17703.0	17703.0	17703.0	17703.0	17703.0	2083.0	2083.0	2083.0	2083.0	2083.0	3058.0	4461.0	5864.0	7267.0	8670.0	28395.0	28395.0	28395.0	28395.0	28395.0	37036.0	37036.0	37036.0	37036.0	37036.0	26459.0	26459.0	26459.0	26459.0	26459.0	22168.0	22168.0	22168.0	22168.0	22168.0
Bacteria;Bacteria;Bacteroidota	138.0	138.0	138.0	138.0	138.0	128.0	128.0	128.0	128.0	128.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	130.0	130.0	130.0	130.0	130.0	7.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	26.0	33.75	41.5	49.25	57.0	64.0	64.0	64.0	64.0	64.0	15.0	15.0	15.0	15.0	15.0	1.0	10.5	20.0	29.5	39.0	515.0	515.0	515.0	515.0	515.0	13.0	13.0	13.0	13.0	13.0	63.0	63.0	63.0	63.0	63.0	48.0	48.0	48.0	48.0	48.0
Bacteria;Bacteria;Deinococcota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.5	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Actinobacteriota	11.0	11.0	11.0	11.0	11.0	91.0	91.0	91.0	91.0	91.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	125.0	125.0	125.0	125.0	125.0	101.0	101.0	101.0	101.0	101.0	25.0	25.0	25.0	25.0	25.0	21.0	24.75	28.5	32.25	36.0	1.0	1.0	1.0	1.0	1.0	23.0	23.0	23.0	23.0	23.0	1.0	1.0	1.0	1.0	1.0	24.0	24.0	24.0	24.0	24.0	63.0	63.0	63.0	63.0	63.0	197.0	197.0	197.0	197.0	197.0	49.0	49.0	49.0	49.0	49.0
Bacteria;Bacteria;Campylobacterota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Fusobacteriota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35.0	35.0	35.0	35.0	35.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Acidobacteriota	1.0	1.0	1.0	1.0	1.0	8.0	8.0	8.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	11.0	11.0	11.0	11.0	11.0	9.0	9.0	9.0	9.0	9.0	24.0	24.0	24.0	24.0	24.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	21.0	21.0	21.0	21.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	1.0	1.0	1.0
