Feature ID	Taxon	Confidence
d50915b00bdee3923417ebc8d6ed53d4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Marinomonadaceae; g__Marinomonas; s__uncultured_Marinomonas	0.9834600358794254
e285ca08d998d68426f792ca73df4afd	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	0.932471025060531
7f1616f2138932d36c5cbff4d4d290f2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_cristatus	0.8048931961883836
8aa6c22a6add4a808ba23540378e2c77	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.9985007840092375
54de851bfd34018d0791534ddeb5e9f6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.9939293739878956
6662f76a19326c81436e1730a77a1b26	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.7180402164187311
01467c43e95bd11b4a31414c81ed9071	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	0.7444171064760224
539e87967c2b16ce7789cc3355464dbc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__uncultured_bacterium	0.9983151311915257
523bd54551c7ff683bef956e57d587c9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__uncultured_Alteromonas	0.9576859691251652
56b50b37bd3a37e4f5ca09e5e7130fde	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__MB19; g__MB19; s__uncultured_bacterium	0.8325979097971082
617d2b1434ed849771e1d23ec1454a7d	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9995729985668247
5cd22b53ee87ba6b4ccc3a930ac6553e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.889815347154801
a95c66fc020a29fb400d89eaa6e4bdcb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8391164792996801
277037de8e0cfc2d6a8beef499346fb6	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.7641606900644863
