# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Chihuahua
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	16.0	4.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0	7.0
