# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua	Cincho	Oaxaca	Canasto	Asadero	Manchego	Adobera_mesa	Cotija	Panela_pasteurizado	Panela_artesanal	Jocoque	Chiapas	Ranchero_Estado_de_Mexico	Ranchero_Veracruz
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0.0	0.0073936141081110685	0.0024947744589036477	0.0003808487486398259	0.11349972672617963	0.038525248469029216	0.0	0.04378068739770868	0.008913649025069638	0.00857355545858254	0.011601197918181025	0.09147779714901036	0.00918559417743757	0.0027422995924427677	0.0011135082469204537	0.013044248571555122	0.009980698902885006
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae	0.0	0.0019716304288296183	0.0011462477243611355	0.0	0.0018218254691200583	0.005421142455576749	0.022039298990971852	0.0022504091653027824	0.0006035283194057567	0.7553969761531946	0.002907568400546623	0.001333196595221003	0.012899987451374075	0.0002878657030741027	0.00041756559259517015	0.0012623466359569474	0.7967797643234458
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.06718851924331376	0.06457089654417	0.18532128649450474	0.5107363075807037	0.07269083621789033	0.02374259612488706	0.026022304832713755	0.26483224222585927	0.020612813370473538	0.018866955874425648	0.269909574622743	0.04871295251769049	0.019500564688166647	0.03880126660909353	0.8752638782564317	0.04883288302254507	0.010056887444128403
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	0.0029354207436399216	0.0009858152144148092	0.0013148135661789494	0.00034457743924555675	0.001761097953482723	0.0009788173878124687	0.004514073287307488	0.0006137479541734861	0.0	0.004928510922298945	0.0013084057802459804	0.0	0.0015811268666081064	0.0	0.002389403113183474	0.0014838109580546574	0.002793579845591223
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	0.0	0.0	0.0	0.00041712005803409504	0.0019432805003947288	0.0014305792591105312	0.694105151354222	0.027925531914893616	0.014066852367688022	0.007392766383448417	0.001424708516267845	0.0	0.002233655414732087	0.001681741739011863	0.0005799522119377364	0.003565575585773132	0.0039872003250711096
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.906392694063927	0.8928747467002575	0.6922999123457623	0.4737758433079434	0.7030728122912492	0.8714486497339624	0.022304832713754646	0.5191284779050737	0.9001857010213556	0.07954924660523141	0.14468060361119994	0.78022766895703	0.49348726314468566	0.9326545763071376	0.11056208968381005	0.831819993798999	0.02478667208451849
Bacteria;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	0.0	0.001697792869269949	0.004146719708718226	0.0	0.0016396429222080525	0.008056420038148781	0.035847052575677114	0.0015343698854337151	0.0013463324048282265	0.004389455040172498	0.0036344605006832786	0.02492052097220798	0.004592797088718785	0.0007120888444464645	0.0009511216275778875	0.0	0.0003555465258025193
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;	0.0	0.0	0.0	0.0	0.00771239448594158	0.0	0.0	0.0	0.0	0.006751033190440742	0.006018666589131509	0.0	0.0017568076295645626	0.0	9.27923539100378e-05	0.0	0.011555262088581878
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	0.0	0.0034503532504518318	0.000539410693817005	0.00012694958287994197	0.0017307341956640553	0.0	0.0	0.0057283142389525366	0.0006499535747446611	0.00015401596632184204	0.003692611868694211	0.0038970362014152395	0.0011795708369933492	0.0	0.0	0.0025025468397041235	0.0003555465258025193
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	0.0	0.0	0.0028656193109028384	0.0011244105912223432	0.0	0.0	0.0	0.0	0.0002785515320334262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae	0.0	0.00826989429870201	0.0026633403007214618	0.0004715270221254987	0.014665695026416469	0.008759160726834655	0.0	0.0035801963993453353	0.0019498607242339832	0.0067767025181610496	0.16500450673102085	0.0036919290329197004	0.2724808633454637	0.005090677696468342	0.000510357946505208	0.043074810648004606	0.020570906135717187
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	0.0	0.0	0.0	5.44069640914037e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	0.0	0.0	0.0	0.00039898440333696047	0.0	0.0008031322156409999	0.0	0.05349836333878887	0.020241411327762304	5.133865544061401e-05	0.00046521094408745966	0.012614090862475643	0.0	0.0006817871914912958	0.0006959426543252836	0.0	0.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	0.0006523157208088715	0.0	0.012473872294518238	0.0011969532100108815	0.0	0.0	0.0	0.0	0.0005571030640668524	0.0	0.0	0.0	0.00012548625925461163	0.0	0.00011599044238754727	0.0	0.0005587159691182446
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	0.0	0.0019168629169176844	0.0028993324792664014	0.00019949220166848024	0.011872229307099047	0.006324666198172874	0.0	0.015548281505728314	0.015506035283194058	0.0028492953769540777	0.012676998226383275	0.009024715413803713	0.008231898607102522	0.00045452479432753055	0.0	0.0024582539752845815	0.005130028443722064
