	W	Reject null hypothesis
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	0	False
Bacteria;Bacteria;Firmicutes;Bacilli	0	False
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	0	False
Bacteria;Bacteria;Bacteroidota;Bacteroidia	0	False
Bacteria;Bacteria;Firmicutes;Clostridia	0	False
Bacteria;Bacteria;Deinococcota;Deinococci	0	False
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	0	False
Bacteria;Bacteria;Campylobacterota;Campylobacteria	0	False
Bacteria;Bacteria;Fusobacteriota;Fusobacteriia	0	False
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	0	False
Bacteria;Bacteria;;	0	False
