Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	300	300	300	300	300	600	600	600	600	600	Guanajuato	Guanajuato	Guanajuato	Guanajuato	Guanajuato	NA	NA	NA	NA	NA	Texcoco	Texcoco	Texcoco	Texcoco	Texcoco
Bacteria;Bacteria;Bacteroidota;Bacteroidia	76.0	115.5	155.0	173.0	191.0	199.0	311.5	424.0	503.5	583.0	2436.0	2844.75	3371.0	4302.0	5925.0	69.0	77.25	85.0	115.25	191.0	6083.0	6083.0	6083.0	6083.0	6083.0
Bacteria;Bacteria;Firmicutes;Clostridia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	12151.0	12673.0	23166.5	33771.5	34628.0	1.0	1.0	2.0	3.5	5.0	18199.0	18199.0	18199.0	18199.0	18199.0
Bacteria;Bacteria;Actinobacteriota;Coriobacteriia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1259.0	1292.75	1377.5	1477.0	1555.0	1.0	1.0	1.0	1.0	1.0	1538.0	1538.0	1538.0	1538.0	1538.0
Bacteria;Bacteria;Firmicutes;Bacilli	170866.0	203391.0	235916.0	298978.5	362041.0	263203.0	306694.5	350186.0	471029.5	591873.0	4271.0	6784.25	7953.5	10138.75	15700.0	96961.0	119874.25	203230.0	279047.5	279346.0	9745.0	9745.0	9745.0	9745.0	9745.0
Bacteria;Bacteria;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	5.0	358.0	431.5	525.5	826.75	1522.0	1.0	1.0	20.5	47.5	70.0	1157.0	1157.0	1157.0	1157.0	1157.0
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	98.0	110.5	123.0	158.5	194.0	155.0	168.0	181.0	231.5	282.0	3331.0	3498.25	5965.5	9079.25	11186.0	71.0	102.5	122.5	134.75	143.0	6152.0	6152.0	6152.0	6152.0	6152.0
Bacteria;Bacteria;Desulfobacterota;Desulfovibrionia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1129.0	1216.0	1303.5	1600.75	2317.0	1.0	1.0	1.0	1.0	1.0	1620.0	1620.0	1620.0	1620.0	1620.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	8931.0	9013.0	9095.0	10670.5	12246.0	5156.0	5426.5	5697.0	6849.0	8001.0	9786.0	11474.25	12743.5	15487.0	21598.0	7433.0	11178.5	13600.0	21614.75	42140.0	8003.0	8003.0	8003.0	8003.0	8003.0
